ID,site,sex,carapace_length,carapace_width,height,plastron,claw,mass,annuli
BKN,SM,M,12.78,9.03,3.89,11.39,12.6,200,NA
BKNO,SM,M,9,7.2,3.4,8.2,7,85,5
BKNP,SM,M,11.95,8.92,4.05,10.47,10.9,210,NA
BKNQ,SM,F,11.66,9.4,4.76,11,7.1,245,NA
BKNV,SM,F,7.8,6.6,3.1,7.2,6,55,3
BKNW,SM,M,10.4,7.8,3.9,9.8,9,115,NA
BKNX,SM,F,10.1,7.9,3.9,9.2,7,120,NA
BKO,SM,M,12.46,9.13,4.11,10.97,11.4,240,NA
BKOP,SM,M,9.66,7.66,3.72,8.95,11.4,115,NA
BKOQ,SM,F,10.5,7.93,4.38,9.61,6.3,175,7
BKOV,SM,M,8.46,7.25,3.16,8.12,10.9,85,5
BKOW,SM,F,7.05,6.03,2.61,6.3,4.7,45,2
BKOX,SM,F,6.47,5.88,2.54,5.97,4.9,35,3
BKPQ,SM,M,10.66,7.82,3.87,9.73,12.2,145,8
BKPV,SM,M,11.05,8.17,4.23,9.97,11.6,185,NA
BKPW,SM,M,11.74,8.77,4.16,10.7,13.2,185,NA
BKPX,DL,F,11.15,8.81,4.28,10.44,6.6,180,5
BKQ,SM,M,10.82,8.5,3.95,10.08,12.9,140,NA
BKQV,DL,F,11.29,8.36,3.94,10.59,7.3,160,NA
BKQW,DL,F,13.44,10.3,4.94,12.52,6.1,320,NA
BKQX,DL,F,12.91,9.59,4.81,12.16,7.4,270,7
BKV,SM,M,11.11,8.88,3.57,10.38,14.6,150,NA
BKVW,SM,F,12.24,9.61,4.91,11.4,7,275,NA
BKVX,SM,F,9.45,7.85,3.3,8.62,7,120,4
BKW,SM,F,13.3,9.86,5.13,12.87,7.4,295,NA
BKWX,SM,F,9.95,7.65,3.71,9.25,6.7,140,NA
BKX,SM,F,13.58,10.16,5.07,12.7,7.9,335,NA
BL,LUX,M,9.47,7.38,3.43,8.73,10.3,85,NA
BLM,SM,M,8.88,7.34,3.38,8.14,9.9,95,NA
BLMN,SM,F,9.26,7.6,3.8,8.54,5.5,115,5
BLMO,SM,F,7.85,6.62,3.12,7.07,6.3,55,3
BLMP,DL,M,10.43,8.09,3.74,9.79,11.7,135,NA
BLMQ,DL,M,9.69,7.72,3.63,9.03,13.4,105,6
BLMV,SM,F,10.98,8.61,4.16,10.08,7.2,150,NA
BLMW,SM,M,9.79,7.77,3.72,9.06,11.5,105,NA
