Capture Date,ID,d15N,d13C,Morph,Species,Zone,Sex,Carapace length (mm),Carapace width (mm),Height (mm),Plastron (mm),3rd foreclaw length (mm),Mass (g),Annuli,Notes,Carapace length (cm),Carapace width (cm),Height (cm),Plastron length (cm)
5/31/2018,BCKLN,,,x,C. picta,14,M,119.1,89.1,41.0,109.3,14.8,205,Non-observable,"Trapped, accidental mismark hence 5-letter code",11.91,8.91,4.1,10.93
5/31/2018,BJKM,,,x,C. picta,8,M,87.0,72.0,34.0,79.0,8.0,80,2,Trapped,8.7,7.2,3.4,7.9
5/31/2018,BJKN,,,x,C. picta,8,F,74.0,64.0,31.0,69.0,6.0,45,3,Trapped,7.4,6.4,3.1,6.9
5/31/2018,BJKO,,,x,C. picta,10,F,91.0,75.0,32.0,84.0,11.0,80,4,Trapped,9.1,7.5,3.2,8.4
5/31/2018,BJKV,,,x,C. picta,11,M,121.0,89.0,41.0,109.0,14.0,195,Non-observable,Trapped,12.1,8.9,4.1,10.9
5/31/2018,BJKX,,,x,C. picta,11,M,103.0,83.0,41.0,94.0,8.0,135,Non-observable,Trapped,10.3,8.3,4.1,9.4
5/31/2018,BJLM,,,x,C. picta,12,M,105.3,80.7,40.8,97.3,11.2,130,Non-observable,Trapped,10.53,8.07,4.08,9.73
5/31/2018,BJLN,,,x,C. picta,11,M,92.9,78.1,34.1,95.4,10.4,110,5,,9.29,7.81,3.41,9.54
5/31/2018,BJLO,,,x,C. picta,11,M,94.9,74.8,37.1,89.3,14.2,115,Non-observable,,9.49,7.48,3.71,8.93
5/31/2018,BJLV,,,x,C. picta,11,M,95.6,75.6,34.6,87.4,12.8,110,Non-observable,,9.56,7.56,3.46,8.74
5/31/2018,BJLW,,,x,C. picta,11,F,81.0,72.8,33.6,74.3,8.0,80,3,,8.1,7.28,3.36,7.43
5/31/2018,BJLX,,,x,C. picta,11,F,105.6,84.6,37.4,96.7,6.1,145,Non-observable,,10.56,8.46,3.74,9.67
6/18/2018,BJM,,,-,C. picta,8,M,98.2,80.9,36.2,93.4,12.2,95,Non-observable,Recap,9.82,8.09,3.62,9.34
5/24/2018,BJMN,,,x,C. picta,11,M,105.0,82.9,39.4,96.9,12.8,125,Non-observable,,10.5,8.29,3.94,9.69
6/23/2018,BJMN,,,-,C. picta,11,M,106.5,80.9,38.4,93.2,12.9,135,Non-observable,Recap (this year),10.65,8.09,3.84,9.32
5/24/2018,BJMV,,,x,C. picta,11,F,75.0,63.8,30.4,67.7,4.7,45,3,,7.5,6.38,3.04,6.77
5/24/2018,BJMW,,,x,C. picta,11,M,92.2,72.1,33.7,83.9,11.2,75,Non-observable,,9.22,7.21,3.37,8.39
5/31/2019,BJMW,,,x,C. picta,11,M,94.5,73.1,37.9,85.8,10.8,110,Non-observable,Recapture,9.45,7.31,3.79,8.58
5/24/2018,BJMX,,,x,C. picta,11,F,84.5,71.4,34.0,79.3,6.4,70,5,,8.45,7.14,3.4,7.93
5/31/2019,BJN,,,x,C. picta,11,F,134.2,96.3,50.1,121.0,7.7,275,Non-observable,Recapture,13.42,9.63,5.01,12.1
5/25/2018,BJNW,,,x,C. picta,11,F,104.0,80.8,39.9,96.1,6.5,140,8,,10.4,8.08,3.99,9.61
5/25/2018,BJOV,,,x,C. picta,11,F,97.7,78.7,38.4,90.4,5.5,100,6,,9.77,7.87,3.84,9.04
5/25/2018,BJOW,,,x,C. picta,11,F,85.7,67.4,34.1,77.1,6.2,65,2,,8.57,6.74,3.41,7.71
5/25/2018,BJOX,,,x,C. picta,11,M,88.9,73.1,33.7,80.7,11.2,70,Non-observable,Recaptured 5 min later,8.89,7.31,3.37,8.07
5/23/2019,BJOX ,,,x,C. picta,,M,91.2,72.7,35.4,82.1,11.5,89,7,,9.12,7.27,3.54,8.21
5/29/2019,BJV,,,x,C. picta,11,F,134.0,100.3,52.2,126.8,7.1,345,Non-observable,Recap 2018,13.4,10.03,5.22,12.68
5/25/2018,BJVW,,,x,C. picta,11,F,106.5,84.6,39.9,98.2,6.7,130,5,,10.65,8.46,3.99,9.82
5/24/2018,BJW,,,x,C. picta,11,M,94.4,77.5,38.1,85.8,10.9,105,Non-observable,,9.44,7.75,3.81,8.58
6/4/2019,BJW,,,,C. picta,11,M,95.5,78.1,37.3,86.7,11.5,115,Non-observable,Recap from 2018,,,,
5/29/2018,BJWX,,,x,C. picta,8,F,82.9,67.4,32.6,75.7,7.2,Unknown,5,,8.29,6.74,3.26,7.57
5/30/2018,BKL,,,x,C. picta,3,F,100.8,78.6,34.2,91.1,7.2,125,6,Trapped,10.08,7.86,3.42,9.11
5/30/2018,BKLM,,,x,C. picta,10,M,118.5,87.2,40.6,110.8,14.2,180,Non-observable,Trapped,11.85,8.72,4.06,11.08
5/31/2018,BKLN,,,x,C. picta,3,F,81.2,66.4,31.3,73.6,5.4,65,2,Trapped,8.12,6.64,3.13,7.36
5/31/2018,BKLO,,,x,C. picta,3,F,109.9,86.8,42.9,103.2,7.0,180,7,"Trapped, blood",10.99,8.68,4.29,10.32
5/31/2018,BKLX,,,x,C. picta,4,M,105.0,81.0,37.0,94.0,14.0,160,Non-observable,"Trapped, blood",10.5,8.1,3.7,9.4
5/30/2018,BKM,,,x,C. picta,3,M,124.2,90.1,38.9,113.8,12.3,210,Non-observable,Trapped. Possible mark GH,12.42,9.01,3.89,11.38
5/31/2018,BKMN,,,x,C. picta,4,M,82.0,72.0,33.0,76.0,8.0,75,3,Trapped,8.2,7.2,3.3,7.6
5/31/2018,BKMO,,,x,C. picta,4,I,76.0,67.0,30.0,69.0,6.0,55,2,Trapped,7.6,6.7,3,6.9
5/31/2018,BKMX,,,x,C. picta,6,M,94.0,78.0,33.0,87.0,7.0,95,Non-observable,"Trapped, missing left forefoot",9.4,7.8,3.3,8.7
5/30/2018,BKN,,,x,C. picta,3,M,127.8,90.3,38.9,113.9,12.6,200,Non-observable,Trapped,12.78,9.03,3.89,11.39
5/31/2018,BKNO,,,x,C. picta,6,M,90.0,72.0,34.0,82.0,7.0,85,5,Trapped,9,7.2,3.4,8.2
7/17/2018,BKNP,,,x,C. picta,8,M,119.5,89.2,40.5,104.7,10.9,210,Non-observable,,11.95,8.92,4.05,10.47
